Day,Price,10MA,20MA,50MA,100MA,200MA
2432,116.0200,116.556,115.236,112.7938,112.1783,106.3168
2431,116.1500,116.618,114.8905,112.8054,112.0974,106.26625
2430,115.8200,116.6,114.578,112.8236,112.0159,106.2151
2429,116.7300,116.6,114.2615,112.8496,111.9458,106.165
2428,116.7600,116.446,113.951,112.8644,111.8622,106.1112
2427,117.2600,116.289,113.686,112.8802,111.7694,106.0503
2426,116.5200,115.893,113.4015,112.8876,111.6555,105.9766
2425,116.2900,115.636,113.165,112.8968,111.5482,105.9053
2424,117.0600,115.219,112.912,112.9178,111.4301,105.8297
2423,116.9500,114.616,112.649,112.9026,111.32,105.75
2422,116.6400,113.916,112.388,112.8846,111.1926,105.6704
2421,115.9700,113.163,112.059,112.833,111.0696,105.59655
2420,115.8200,112.556,111.758,112.7914,110.9394,105.53175
2419,115.1900,111.923,111.4665,112.736,110.7479,105.46015
2418,115.1900,111.456,111.0625,112.6922,110.5694,105.38795
2417,113.3000,111.083,110.5885,112.6388,110.4041,105.31465
2416,113.9500,110.91,110.345,112.6338,110.2654,105.2316
2415,112.1200,110.694,110.037,112.5984,110.1255,105.1464
2414,111.0300,110.605,109.975,112.635,110.003,105.0696
2413,109.9500,110.682,109.9765,112.6762,109.891,104.99495
2412,109.1100,110.86,109.9995,112.7348,109.7793,104.91865
2411,109.9000,110.955,109.986,112.8068,109.6761,104.8575
2410,109.4900,110.96,109.9825,112.9012,109.5458,104.7882
2409,110.5200,111.01,110.0875,112.9824,109.4251,104.72205
2408,111.4600,110.669,110.136,113.0434,109.2897,104.66005
2407,111.5700,110.094,110.24,113.0858,109.1419,104.58595
2406,111.7900,109.78,110.3475,113.1528,108.9856,104.49805
2405,111.2300,109.38,110.482,113.2284,108.823,104.4076
2404,111.8000,109.345,110.7,113.2392,108.6606,104.3228
2403,111.7300,109.271,111.0225,113.1622,108.5015,104.23875
2402,110.0600,109.139,111.3185,113.0364,108.3402,104.15515
2401,109.9500,109.017,111.6455,112.8978,108.1836,104.07495
2400,109.9900,109.005,112.001,112.8092,108.02,104.0082
2399,107.1100,109.165,112.3575,112.7766,107.8405,103.94
2398,105.7100,109.603,112.8755,112.7884,107.7034,103.87685
2397,108.4300,110.386,113.4675,112.8288,107.6073,103.83045
2396,107.7900,110.915,113.9275,112.7948,107.4785,103.775
2395,110.8800,111.584,114.387,112.761,107.3597,103.7065
2394,111.0600,112.055,114.71,112.6634,107.2019,103.6192
2393,110.4100,112.774,114.972,112.5786,107.0446,103.56385
2392,108.8400,113.498,115.254,112.5092,106.916,103.509
2391,109.8300,114.274,115.515,112.4838,106.799,103.4719
